,EventTime,Origin,Destination
402,1978.53067,North America,HVBahia
403,2015.03835,HVBahia,Bahia
404,1980.9343700000002,HVBahia,Western Europe
405,2004.03824,Western Europe,EasternEurope
406,2017.03835,Western Europe,SoutheastBrazil
407,1975.22308,North America,HVBahia
408,2014.03835,HVBahia,SoutheastBrazil
409,1984.0831,HVBahia,Bahia
410,2017.03835,Bahia,SouthBrazil
411,2016.03825,Bahia,SoutheastBrazil
412,2014.6520400000002,Bahia,HVBahia
413,2007.03835,Bahia,MidwestBrazil
414,2014.03835,Bahia,SoutheastBrazil
415,2001.5985400000002,Bahia,HVBahia
416,2016.03823,HVBahia,Bahia
417,2001.90292,Bahia,HVBahia
418,2017.03834,HVBahia,Bahia
419,2013.03834,HVBahia,Western Europe
420,2017.03834,North America,SoutheastBrazil
421,1989.8388400000001,North America,SouthBrazil
422,1976.55503,North America,SoutheastBrazil
423,2000.03823,SoutheastBrazil,Western Europe
424,2015.03835,North America,NortheastBrazil
425,2009.03835,North America,Africa
426,2001.03835,North America,SouthBrazil
427,2015.03835,North America,SoutheastBrazil
428,2014.03835,North America,Asia
429,2007.03835,North America,Western Europe
430,1975.11573,North America,NortheastBrazil
431,1993.03835,North America,Western Europe
432,2016.03824,North America,Africa
433,2017.03834,North America,SoutheastBrazil
434,1978.0722400000002,North America,SoutheastBrazil
435,2012.2969600000001,SoutheastBrazil,MidwestBrazil
436,2016.03823,MidwestBrazil,NorthBrazil
437,1977.20271,North America,Western Europe
438,1993.03834,Western Europe,EasternEurope
439,2016.03823,Western Europe,SoutheastBrazil
440,1977.1596100000002,North America,SoutheastBrazil
441,2015.03833,SoutheastBrazil,Bahia
442,1990.4207000000001,SoutheastBrazil,Western Europe
443,2015.03835,Western Europe,SoutheastBrazil
444,1996.11976,SoutheastBrazil,SouthBrazil
445,1990.46306,SoutheastBrazil,MidwestBrazil
446,1968.47351,SoutheastBrazil,SouthBrazil
447,2017.03835,SouthBrazil,SoutheastBrazil
448,2008.03824,SouthBrazil,MidwestBrazil
449,2017.03835,SouthBrazil,SoutheastBrazil
450,2017.03836,SouthBrazil,SoutheastBrazil
451,2016.03825,SouthBrazil,SoutheastBrazil
452,1983.66945,SouthBrazil,SoutheastBrazil
453,2019.03835,SoutheastBrazil,Western Europe
454,2011.03834,SoutheastBrazil,NorthAmerica
455,1974.59111,SoutheastBrazil,SouthBrazil
456,2000.03825,SouthBrazil,SouthAmerica
457,1998.03836,SouthBrazil,SoutheastBrazil
458,2016.03824,SoutheastBrazil,MidwestBrazil
459,2000.43442,SoutheastBrazil,SouthBrazil
460,2009.03835,SoutheastBrazil,MidwestBrazil
461,1985.47775,SoutheastBrazil,NorthBrazil
462,2014.03835,NorthBrazil,SouthAmerica
463,2017.03833,SoutheastBrazil,NortheastBrazil
464,2017.03833,SoutheastBrazil,Bahia
465,2015.03833,SoutheastBrazil,MidwestBrazil
466,2016.03824,SoutheastBrazil,MidwestBrazil
467,1994.18063,SoutheastBrazil,SouthAmerica
468,2015.03835,SoutheastBrazil,MidwestBrazil
469,2015.03835,SoutheastBrazil,NortheastBrazil
470,2010.03835,SoutheastBrazil,Western Europe
471,2014.03835,SoutheastBrazil,NortheastBrazil
472,1975.22502,SoutheastBrazil,MidwestBrazil
473,2014.03834,MidwestBrazil,Western Europe
474,2009.03834,MidwestBrazil,Western Europe
475,2014.03834,MidwestBrazil,NorthBrazil
476,1977.73061,SoutheastBrazil,NorthBrazil
477,2015.03834,NorthBrazil,SoutheastBrazil
478,2016.03824,NorthBrazil,SoutheastBrazil
479,2015.03835,NorthBrazil,SoutheastBrazil
480,1987.84059,NorthBrazil,MidwestBrazil
481,2017.03833,SoutheastBrazil,NorthBrazil
482,1989.74971,SoutheastBrazil,MidwestBrazil
483,2004.9652700000001,SoutheastBrazil,NortheastBrazil
484,2016.03823,NortheastBrazil,SouthBrazil
485,2017.03834,SoutheastBrazil,NortheastBrazil
486,1983.9884100000002,SoutheastBrazil,SouthBrazil
487,2001.03834,SoutheastBrazil,Africa
488,2017.03834,SoutheastBrazil,SouthBrazil
489,1990.0080600000001,SoutheastBrazil,Western Europe
490,1975.0789100000002,SoutheastBrazil,SouthBrazil
491,1980.7227200000002,SoutheastBrazil,NortheastBrazil
492,1993.23262,SoutheastBrazil,NortheastBrazil
493,2015.03833,SoutheastBrazil,Bahia
494,2015.03833,SoutheastBrazil,SouthBrazil
495,2008.03823,SoutheastBrazil,MidwestBrazil
496,2014.03834,SoutheastBrazil,NorthBrazil
497,1997.03834,SoutheastBrazil,Western Europe
498,2016.03824,SoutheastBrazil,Bahia
499,2007.03834,SoutheastBrazil,SouthBrazil
500,2016.03823,SoutheastBrazil,NorthBrazil
501,2015.03834,SoutheastBrazil,SouthBrazil
502,2013.03833,SoutheastBrazil,Western Europe
503,1991.78905,SoutheastBrazil,Western Europe
504,2015.03834,Western Europe,SoutheastBrazil
505,2011.03832,SoutheastBrazil,Asia
506,2017.03834,SoutheastBrazil,NorthBrazil
507,2017.03835,SoutheastBrazil,NorthBrazil
508,2016.03824,SoutheastBrazil,NortheastBrazil
509,2002.77747,SoutheastBrazil,SouthBrazil
510,2015.03835,SoutheastBrazil,MidwestBrazil
511,2015.03835,SoutheastBrazil,NortheastBrazil
512,2016.03824,SoutheastBrazil,NortheastBrazil
513,2016.03823,SoutheastBrazil,NortheastBrazil
514,2015.03835,SoutheastBrazil,NortheastBrazil
515,2016.03824,SoutheastBrazil,SouthBrazil
516,2016.03824,SoutheastBrazil,Bahia
517,2017.03835,SoutheastBrazil,Bahia
518,2017.03834,SoutheastBrazil,NortheastBrazil
519,2016.03824,SoutheastBrazil,SouthBrazil
520,2016.03823,SoutheastBrazil,NortheastBrazil
